Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-158,2000,21.6,1,35,6,17.1,1.62,0.28,0.03,0.17,19.1,2,0,0,2.9,2.9,0.08,-1.9,-1.9,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-259,1996,20.8,5,42,14,33.3,2.02,0.67,0.12,0.36,13.9,0,0,0,5.9,5.9,0.14,-0.9,-0.9,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-043,1999,24.0,0,4,0,0.0,0.17,0.00,0.00,,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-186,1997,13.2,1,5,3,60.0,0.38,0.23,0.20,0.33,15.2,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,26-364,1996,9.7,0,6,0,0.0,0.62,0.00,0.00,,8.9,0,0,0,1.2,1.2,0.20,-1.2,-1.2,Matches,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-000,2002,1.0,0,3,0,0.0,2.90,0.00,0.00,,15.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-296,2001,11.5,1,10,5,50.0,0.87,0.44,0.10,0.20,14.1,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,24-346,1998,8.5,0,1,0,0.0,0.12,0.00,0.00,,6.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-253,1995,18.1,0,13,2,15.4,0.72,0.11,0.00,0.00,16.8,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-039,1995,16.8,0,7,1,14.3,0.42,0.06,0.00,0.00,11.4,0,0,0,1.0,1.0,0.14,-1.0,-1.0,Matches,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-131,1989,2.6,1,2,1,50.0,0.76,0.38,0.50,1.00,8.0,0,0,0,0.3,0.3,0.17,+0.7,+0.7,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,31-352,1991,12.8,0,9,1,11.1,0.70,0.08,0.00,0.00,25.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,77e84962
13,Carlos Alcaraz,ar ARG,MF,Southampton,20-119,2002,3.6,2,11,3,27.3,3.03,0.83,0.18,0.67,21.4,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-173,1998,21.5,1,25,4,16.0,1.16,0.19,0.04,0.25,22.3,4,0,0,1.7,1.7,0.07,-0.7,-0.7,Matches,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-178,1992,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,26-352,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-047,1994,22.0,11,50,17,34.0,2.28,0.77,0.22,0.65,16.7,0,0,0,6.1,6.1,0.12,+4.9,+4.9,Matches,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-057,2000,8.3,5,27,11,40.7,3.24,1.32,0.19,0.45,14.8,0,0,0,3.6,3.6,0.13,+1.4,+1.4,Matches,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-098,1994,16.9,0,5,2,40.0,0.30,0.12,0.00,0.00,18.0,0,0,0,1.0,1.0,0.21,-1.0,-1.0,Matches,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-302,1996,21.4,1,15,7,46.7,0.70,0.33,0.07,0.14,10.7,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches,e34fc66d
21,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,20-143,2002,2.1,0,6,2,33.3,2.87,0.96,0.00,0.00,12.9,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-118,1999,11.2,3,19,10,52.6,1.70,0.90,0.16,0.30,19.3,2,0,0,2.0,2.0,0.11,+1.0,+1.0,Matches,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,33-001,1990,12.5,3,25,9,36.0,1.99,0.72,0.12,0.33,13.4,0,0,0,3.4,3.4,0.14,-0.4,-0.4,Matches,ac05f970
24,Antony,br BRA,FWMF,Manchester Utd,23-033,2000,11.9,3,36,16,44.4,3.03,1.34,0.08,0.19,20.7,0,0,0,2.8,2.8,0.08,+0.2,+0.2,Matches,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-251,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-030,1993,3.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-251,1996,12.2,2,13,8,61.5,1.07,0.66,0.15,0.25,10.7,0,0,0,1.4,1.4,0.11,+0.6,+0.6,Matches,328f7d51
28,Adam Armstrong,eng ENG,FW,Southampton,26-047,1997,12.3,1,20,10,50.0,1.62,0.81,0.05,0.10,16.4,0,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,30-364,1992,11.1,1,19,4,21.1,1.70,0.36,0.05,0.25,18.3,0,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-177,1994,18.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-284,1989,4.9,1,10,5,50.0,2.04,1.02,0.10,0.20,15.3,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,28-342,1994,0.9,0,2,1,50.0,2.34,1.17,0.00,0.00,12.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-095,1992,15.9,1,8,3,37.5,0.50,0.19,0.13,0.33,14.7,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-229,1997,8.1,4,19,8,42.1,2.34,0.99,0.21,0.50,11.9,0,0,0,4.5,4.5,0.25,-0.5,-0.5,Matches,e5478b87
35,André Ayew,gh GHA,FW,Nott'ham Forest,33-102,1989,2.5,0,2,1,50.0,0.79,0.39,0.00,0.00,17.9,0,0,1,1.0,0.2,0.10,-1.0,-0.2,Matches,5dbefa9d
36,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-199,1991,20.9,1,14,6,42.9,0.67,0.29,0.07,0.17,14.7,0,0,0,1.4,1.4,0.10,-0.4,-0.4,Matches,da052c14
37,Luke Ayling,eng ENG,DF,Leeds United,31-216,1991,13.8,1,15,4,26.7,1.09,0.29,0.07,0.25,13.7,0,0,0,1.9,1.9,0.12,-0.9,-0.9,Matches,420d7c7d
38,César Azpilicueta,es ESP,DF,Chelsea,33-213,1989,12.3,0,7,1,14.3,0.57,0.08,0.00,0.00,18.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,53cad200
39,Benoît Badiashile,fr FRA,DF,Chelsea,22-003,2001,7.1,0,5,1,20.0,0.71,0.14,0.00,0.00,7.2,0,0,0,0.8,0.8,0.16,-0.8,-0.8,Matches,06df8256
40,Leon Bailey,jm JAM,FWMF,Aston Villa,25-232,1997,17.9,4,43,13,30.2,2.41,0.73,0.09,0.31,17.6,2,0,0,4.8,4.8,0.11,-0.8,-0.8,Matches,3a233281
41,Stefan Bajcetic,es ESP,MF,Liverpool,18-158,2004,5.8,1,6,3,50.0,1.03,0.51,0.17,0.33,24.5,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches,32e8417f
42,Patrick Bamford,eng ENG,FW,Leeds United,29-205,1993,10.6,2,30,13,43.3,2.82,1.22,0.07,0.15,15.1,1,0,1,5.6,4.8,0.16,-3.6,-2.8,Matches,93feac6e
43,Shandon Baptiste,gd GRN,MF,Brentford,24-355,1998,5.0,0,2,1,50.0,0.40,0.20,0.00,0.00,16.9,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,2886c9b5
44,Harvey Barnes,eng ENG,MFFW,Leicester City,25-110,1997,22.6,9,54,25,46.3,2.39,1.11,0.17,0.36,16.2,0,0,0,7.4,7.4,0.14,+1.6,+1.6,Matches,3ea50f67
45,Gavin Bazunu,ie IRL,GK,Southampton,21-037,2002,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c91441dc
46,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-081,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,30db8574
47,Jan Bednarek,pl POL,DF,Southampton,26-351,1996,9.1,0,6,0,0.0,0.66,0.00,0.00,,15.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,4115ce4e
48,Jan Bednarek,pl POL,DF,Aston Villa,26-351,1996,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4115ce4e
49,Donny van de Beek,nl NED,MF,Manchester Utd,25-345,1997,1.9,0,2,0,0.0,1.08,0.00,0.00,,10.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,50dc94ce
50,Asmir Begović,ba BIH,GK,Everton,35-282,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7b4de647
51,Armel Bella Kotchap,de GER,DF,Southampton,21-108,2001,16.5,0,11,1,9.1,0.67,0.06,0.00,0.00,16.1,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches,a39d11bc
52,Saïd Benrahma,dz ALG,FWMF,West Ham,27-231,1995,15.9,4,50,16,32.0,3.15,1.01,0.02,0.06,21.8,4,3,3,5.1,2.8,0.06,-1.1,-1.8,Matches,5a04fd92
53,Rodrigo Bentancur,uy URU,MF,Tottenham,25-277,1997,16.7,5,15,9,60.0,0.90,0.54,0.33,0.56,15.8,0,0,0,2.2,2.2,0.15,+2.8,+2.8,Matches,3b8674e6
54,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-103,2002,3.9,0,1,0,0.0,0.26,0.00,0.00,,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,505486d6
55,Owen Bevan,wls WAL,DF,Bournemouth,19-154,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,87966294
56,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22-363,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,de40e38c
57,Philip Billing,dk DEN,MFFW,Bournemouth,26-291,1996,21.7,6,25,14,56.0,1.15,0.65,0.24,0.43,18.8,4,0,0,2.8,2.8,0.11,+3.2,+3.2,Matches,d328a254
58,Yves Bissouma,ml MLI,MF,Tottenham,26-211,1996,9.0,0,5,0,0.0,0.55,0.00,0.00,,26.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,6c203af0
59,Willy Boly,ci CIV,DF,Nott'ham Forest,32-054,1991,6.6,0,1,0,0.0,0.15,0.00,0.00,,22.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,a4ac4b8f
60,Sven Botman,nl NED,DF,Newcastle Utd,23-076,2000,22.7,0,14,4,28.6,0.62,0.18,0.00,0.00,11.6,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches,ccce7025
61,Jarrod Bowen,eng ENG,FWMF,West Ham,26-099,1996,25.9,4,54,12,22.2,2.09,0.46,0.06,0.25,16.2,1,1,2,6.9,5.8,0.11,-2.9,-2.8,Matches,79c84d1c
62,James Bree,eng ENG,DF,Southampton,25-169,1997,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c07b7c5c
63,Armando Broja,al ALB,FW,Chelsea,21-200,2001,3.3,1,6,5,83.3,1.84,1.53,0.17,0.20,11.0,0,0,0,0.8,0.8,0.14,+0.2,+0.2,Matches,97220da2
64,David Brooks,wls WAL,DF,Bournemouth,25-264,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,dc4cae05
65,Lewis Brunt,eng ENG,DF,Leicester City,22-143,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a2081c6b
66,Bryan,es ESP,MFFW,Tottenham,22-046,2001,1.6,0,2,1,50.0,1.22,0.61,0.00,0.00,19.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,7b5ab7f2
67,Emi Buendía,ar ARG,MFFW,Aston Villa,26-094,1996,18.1,5,34,8,23.5,1.87,0.44,0.15,0.63,16.3,1,0,0,4.7,4.7,0.14,+0.3,+0.3,Matches,66b76d44
68,Hugo Bueno,es ESP,DF,Wolves,20-192,2002,11.6,0,4,1,25.0,0.35,0.09,0.00,0.00,18.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,bfc3b3a0
69,Facundo Buonanotte,ar ARG,FWMF,Brighton,18-096,2004,0.6,0,2,0,0.0,3.60,0.00,0.00,,16.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,468a7a91
70,Dan Burn,eng ENG,DF,Newcastle Utd,30-324,1992,24.6,0,12,3,25.0,0.49,0.12,0.00,0.00,11.5,0,0,0,1.1,1.1,0.09,-1.1,-1.1,Matches,b2d31e83
71,Cafú,pt POR,MF,Nott'ham Forest,30-031,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,85322440
72,Moisés Caicedo,ec ECU,MF,Brighton,21-147,2001,23.2,1,17,5,29.4,0.73,0.22,0.06,0.20,23.8,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches,16264a81
73,Tom Cairney,sct SCO,MF,Fulham,32-068,1991,5.2,0,11,0,0.0,2.10,0.00,0.00,,20.3,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,a8748947
74,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-193,1996,8.0,0,3,1,33.3,0.38,0.13,0.00,0.00,10.6,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches,94f8d10c
75,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-013,1997,8.1,1,16,4,25.0,1.97,0.49,0.06,0.25,10.7,0,0,0,2.9,2.9,0.18,-1.9,-1.9,Matches,59e6e5bf
76,Chem Campbell,wls WAL,FWMF,Wolves,20-089,2002,0.8,0,2,0,0.0,2.43,0.00,0.00,,11.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,6f711f67
77,João Cancelo,pt POR,DF,Manchester City,28-306,1994,14.2,2,17,3,17.6,1.20,0.21,0.12,0.67,22.7,0,0,0,0.8,0.8,0.05,+1.2,+1.2,Matches,bd6351cd
78,Thomas Cannon,ie IRL,FW,Everton,20-091,2002,0.3,0,1,1,100.0,3.60,3.60,0.00,0.00,10.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,4506aec5
79,Sergi Canós,es ESP,FWDF,Brentford,26-055,1997,0.9,0,1,0,0.0,1.17,0.00,0.00,,16.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,1137759d
80,Diego Carlos,br BRA,DF,Aston Villa,30-014,1993,2.0,0,4,0,0.0,2.01,0.00,0.00,,15.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,b4a014b1
81,Fabio Carvalho,pt POR,MFFW,Liverpool,20-211,2002,3.8,2,11,4,36.4,2.91,1.06,0.18,0.50,11.5,0,0,0,1.1,1.1,0.10,+0.9,+0.9,Matches,966e28d0
82,Casemiro,br BRA,MF,Manchester Utd,31-034,1992,14.9,2,17,5,29.4,1.14,0.34,0.12,0.40,22.5,0,0,0,2.1,2.1,0.12,-0.1,-0.1,Matches,4d224fe8
83,Matty Cash,pl POL,DF,Aston Villa,25-234,1997,18.2,0,7,1,14.3,0.38,0.05,0.00,0.00,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,2389cdc2
84,Timothy Castagne,be BEL,DF,Leicester City,27-114,1995,25.2,1,13,3,23.1,0.52,0.12,0.08,0.33,9.5,0,0,0,1.7,1.7,0.13,-0.7,-0.7,Matches,197640fd
85,Jonny Castro,es ESP,DF,Wolves,29-026,1994,14.0,1,9,2,22.2,0.64,0.14,0.11,0.50,24.1,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches,e28868f3
86,Julio César Enciso,py PAR,FWMF,Brighton,19-065,2004,1.7,0,11,8,72.7,6.56,4.77,0.00,0.00,23.6,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches,9cfbad36
87,Nathaniel Chalobah,eng ENG,MF,Fulham,28-107,1994,0.1,0,1,1,100.0,7.50,7.50,0.00,0.00,10.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,422862ea
88,Trevoh Chalobah,eng ENG,DF,Chelsea,23-267,1999,11.2,0,5,1,20.0,0.45,0.09,0.00,0.00,11.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,5515376c
89,Calum Chambers,eng ENG,DFMF,Aston Villa,28-068,1995,2.6,0,1,0,0.0,0.38,0.00,0.00,,29.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,dc6f5bdd
90,Ben Chilwell,eng ENG,DFMF,Chelsea,26-098,1996,9.7,2,9,3,33.3,0.93,0.31,0.22,0.67,16.3,0,0,0,0.9,0.9,0.10,+1.1,+1.1,Matches,d2424d1b
91,Ryan Christie,sct SCO,MFFW,Bournemouth,28-035,1995,11.8,1,18,6,33.3,1.52,0.51,0.06,0.17,14.1,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches,26ce2263
92,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-160,2003,2.6,0,4,1,25.0,1.55,0.39,0.00,0.00,16.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,b2f9c73e
93,Bobby Clark,eng ENG,MF,Liverpool,18-050,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,73341ace
94,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31-358,1991,18.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0442183b
95,Conor Coady,eng ENG,DF,Everton,30-032,1993,21.9,1,4,2,50.0,0.18,0.09,0.25,0.50,8.5,0,0,0,0.8,0.8,0.21,+0.2,+0.2,Matches,2928dca2
96,Jack Colback,eng ENG,MF,Nott'ham Forest,33-156,1989,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,963a9201
97,Séamus Coleman,ie IRL,DF,Everton,34-169,1988,16.1,1,5,1,20.0,0.31,0.06,0.20,1.00,20.5,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches,0420d84f
98,Nathan Collins,ie IRL,DF,Wolves,21-333,2001,17.5,0,2,0,0.0,0.11,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,a8c19eb8
99,Levi Colwill,eng ENG,DF,Brighton,20-031,2003,6.1,0,1,0,0.0,0.16,0.00,0.00,,8.1,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches,700783e7
100,Lewis Cook,eng ENG,MF,Bournemouth,26-054,1997,16.8,0,5,0,0.0,0.30,0.00,0.00,,28.0,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,2afc7272
101,Steve Cook,eng ENG,DF,Nott'ham Forest,31-344,1991,10.6,0,3,0,0.0,0.28,0.00,0.00,,14.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,3e5e4e63
102,Liam Cooper,sct SCO,DF,Leeds United,31-211,1991,12.3,1,9,2,22.2,0.73,0.16,0.11,0.50,8.9,0,0,0,1.0,1.0,0.11,0.0,0.0,Matches,dc64b8b3
103,Maxwel Cornet,ci CIV,FW,West Ham,26-183,1996,1.1,0,4,1,25.0,3.75,0.94,0.00,0.00,9.8,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches,beb391dd
104,Diego Costa,es ESP,FW,Wolves,34-173,1988,7.9,0,21,7,33.3,2.66,0.89,0.00,0.00,11.7,0,0,0,2.2,2.2,0.11,-2.2,-2.2,Matches,a190d597
105,Vladimír Coufal,cz CZE,DF,West Ham,30-219,1992,15.8,0,5,0,0.0,0.32,0.00,0.00,,24.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,fdf3cb77
106,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-290,1992,8.8,1,21,8,38.1,2.40,0.91,0.05,0.13,21.6,2,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches,0ef89a37
107,Conor Coventry,ie IRL,MFFW,West Ham,23-004,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a5ca9127
108,Aaron Cresswell,eng ENG,DF,West Ham,33-104,1989,17.5,0,7,1,14.3,0.40,0.06,0.00,0.00,22.8,3,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,4f974391
109,Marc Cucurella,es ESP,DF,Chelsea,24-250,1998,15.9,0,6,0,0.0,0.38,0.00,0.00,,17.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,1daec722
